MAGX,MAGY,MAGZ
-27.13,-13.66,296.68
-27.62,-14.6,300.57
-27.52,-14.26,300.57
-27.42,-14.26,300.7
-27.62,-14.46,299.38
-27.42,-14.36,300.37
-27.82,-13.96,299.77
-27.23,-14.36,299.57
-27.42,-14.16,300.97
-27.62,-14.16,301.17
-27.62,-14.56,300.7
-27.23,-14.16,301.7
-27.23,-14.6,300.37
-27.72,-14.66,299.77
-27.42,-14.16,299.57
-27.32,-14.6,299.57
-27.32,-14.6,300.17
-27.13,-14.26,299.48
-27.32,-14.46,299.87
-27.23,-14.46,300.77
-27.23,-13.86,300.57
-27.32,-14.26,300.17
-27.23,-14.36,300.27
-27.42,-14.26,298.78
-27.23,-14.26,300.7
-27.52,-13.96,299.67
-27.62,-13.96,300.7
-27.32,-14.26,299.48
-27.32,-14.26,299.38
-27.23,-14.26,298.68
-27.23,-14.46,299.8
-26.93,-14.6,300.17
-27.3,-14.16,299.38
-27.23,-13.86,299.67
-27.42,-14.36,298.88
-27.32,-13.96,299.87
-27.42,-14.26,298.38
-27.32,-14.6,300.7
-27.52,-14.66,300.17
-27.52,-14.36,299.48
-27.52,-14.66,299.48
-27.82,-14.56,299.8
-27.32,-14.86,300.7
-27.52,-14.36,300.47
-27.42,-14.26,299.28
-27.52,-14.56,299.87
-27.32,-14.36,300.27
-27.52,-14.6,300.7
-27.32,-14.56,298.98
-27.42,-14.6,299.28
-27.42,-14.56,299.97
-27.42,-14.46,299.18
-27.42,-14.26,299.77
-27.23,-14.16,300.27
-27.23,-14.46,300.77
-27.92,-14.66,299.87
-26.73,-15.56,299.57
-26.83,-15.36,300.37
-26.63,-15.66,300.87
-26.73,-15.56,300.7
-26.53,-15.46,299.87
-26.83,-15.66,298.58
-26.43,-16.16,300.17
-26.43,-16.16,299.77
-26.63,-15.56,299.77
-27.13,-15.86,300.67
-26.43,-15.86,300.7
-26.73,-15.66,298.88
-26.33,-15.76,300.17
-26.23,-15.56,299.97
-26.73,-15.46,299.97
-26.63,-15.56,299.77
-27.23,-15.36,300.67
-26.63,-15.36,300.27
-26.83,-15.26,299.57
-26.53,-15.36,299.48
-27.23,-15.6,299.87
-27.3,-15.76,300.27
-26.73,-15.56,298.98
-27.13,-15.36,299.28
-26.93,-15.26,298.88
-26.93,-15.56,299.28
-26.73,-15.26,298.98
-26.53,-15.66,299.28
-26.43,-15.56,300.47
-26.73,-15.86,299.77
-26.33,-15.26,299.97
-26.83,-15.46,298.48
-26.93,-15.36,298.68
-26.53,-15.36,299.38
-27.13,-15.56,298.38
-26.93,-15.76,299.77
-26.63,-15.46,299.48
-26.93,-15.46,299.28
-27.3,-15.26,299.28
-27.13,-14.96,299.28
-27.3,-14.96,298.88
-27.13,-15.6,298.88
-27.13,-15.6,299.48
-26.83,-15.46,298.78
-26.83,-15.56,298.48
-26.93,-15.36,299.28
-27.32,-15.86,299.28
-27.3,-15.66,298.58
-26.73,-15.16,298.98
-27.3,-15.16,298.48
-26.93,-15.56,298.18
-27.13,-15.16,299.8
-26.93,-15.36,298.98
-27.3,-14.66,299.77
-26.83,-14.56,298.78
-26.73,-15.26,299.38
-26.43,-15.26,300.7
-26.93,-15.16,299.48
-26.53,-15.16,299.38
-27.3,-15.36,300.27
-26.73,-15.46,299.97
-26.73,-15.26,298.48
-26.43,-15.6,299.18
-26.73,-14.96,299.8
-26.93,-15.6,299.28
-26.73,-14.76,298.88
-26.53,-14.86,299.28
-26.73,-14.96,299.77
-26.43,-15.36,300.37
-26.43,-15.36,299.38
-26.33,-15.26,299.57
-26.53,-15.36,298.28
-26.43,-15.26,299.8
-26.23,-15.6,299.48
-26.33,-15.26,299.57
-26.33,-15.36,299.77
-26.43,-15.66,299.57
-26.23,-15.46,297.88
-26.53,-15.26,299.18
-26.33,-15.56,299.28
-26.43,-15.46,299.28
-26.33,-15.56,299.18
-26.93,-15.26,298.58
-26.33,-15.26,299.28
-26.53,-15.6,299.8
-26.43,-15.36,299.8
-26.83,-15.86,298.88
-26.43,-15.66,298.58
-26.43,-15.56,298.18
-26.33,-15.36,298.98
-26.53,-15.46,299.28
-26.73,-15.56,298.78
-26.83,-15.76,299.38
-26.83,-15.56,298.58
-26.63,-15.36,299.28
-26.33,-15.36,299.18
-26.43,-15.46,300.17
-26.13,-15.36,299.28
-26.63,-15.56,299.18
-25.93,-15.56,299.48
-26.43,-15.56,298.68
-26.13,-15.56,298.98
-26.23,-15.56,299.38
-26.33,-15.66,299.28
-26.23,-15.26,298.68
-26.43,-15.26,298.18
-26.53,-15.26,298.78
-26.23,-15.46,299.48
-26.73,-15.26,299.77
-26.23,-15.36,298.98
-26.83,-15.36,299.97
-26.53,-15.76,298.78
-27.42,-15.6,298.28
-27.13,-15.16,299.28
-26.63,-15.6,299.57
-26.83,-15.46,300.47
-26.53,-15.46,298.18
-26.93,-15.46,299.67
-26.83,-15.76,299.28
-26.83,-15.76,298.88
-26.63,-15.86,298.68
-27.3,-15.56,300.47
-26.63,-15.36,299.67
-26.73,-15.56,299.77
-26.73,-15.36,298.88
-26.73,-15.6,299.18
-26.83,-15.56,299.97
-26.73,-15.46,300.57
-26.93,-15.26,299.87
-26.73,-14.86,299.38
-27.3,-15.16,298.8
-27.3,-15.16,299.77
-26.83,-15.6,299.77
-26.63,-15.26,299.28
-26.63,-15.76,299.57
-26.53,-15.46,299.8
-26.53,-15.26,298.68
-26.13,-15.56,298.88
-26.23,-15.16,299.48
-26.53,-15.46,298.28
-26.53,-15.26,298.18
-26.63,-15.26,299.8
-26.63,-15.56,299.8
-26.63,-15.56,299.18
-26.83,-15.36,298.88
-26.43,-15.46,298.48
-26.83,-15.16,298.8
-26.73,-15.36,298.28
-26.73,-15.26,298.78
-26.93,-15.16,298.68
-26.93,-15.46,298.58
-26.63,-15.46,298.88
-26.73,-15.16,300.27
-26.93,-15.26,300.7
-26.83,-14.96,299.77
-26.93,-15.6,299.8
-26.93,-15.46,299.67
-27.3,-15.46,299.8
-26.73,-15.56,299.18
-27.23,-14.96,298.58
-26.83,-15.36,298.88
-27.3,-15.16,298.98
-27.3,-15.66,299.57
-27.13,-15.36,299.18
-26.73,-15.66,299.57
-26.83,-15.66,299.38
-27.3,-15.76,298.78
-26.63,-15.66,300.7
-26.53,-15.66,299.38
-26.63,-15.76,299.57
-26.73,-15.76,298.88
-27.23,-15.86,298.98
-26.63,-15.36,299.38
-26.63,-15.56,298.68
-26.43,-15.56,299.18
-26.63,-15.66,298.78
-26.63,-15.96,298.88
-27.13,-15.56,299.57
-27.32,-15.46,298.78
-27.23,-15.66,298.58
-26.83,-15.46,299.38
-26.63,-15.36,299.97
-26.53,-15.66,298.88
-26.53,-15.76,299.87
-26.93,-15.46,300.27
-26.93,-15.36,299.8
-27.3,-15.46,299.97
-26.93,-15.96,299.38
-26.73,-15.46,299.67
-26.93,-15.16,298.38
-26.73,-15.56,299.28
-26.73,-15.6,298.28
-26.73,-15.16,298.98
-26.73,-15.76,299.18
-26.73,-15.86,299.77
-27.3,-15.76,299.57
-26.13,-15.86,299.77
-26.43,-15.56,297.68
-26.63,-15.66,298.48
-26.83,-15.26,298.68
-26.63,-15.36,298.58
-26.73,-15.46,298.58
-26.43,-15.86,298.68
-26.43,-15.66,299.28
-26.23,-15.56,299.18
-26.23,-15.56,299.48
-26.23,-15.46,298.88
-26.73,-15.86,298.68
-26.93,-15.36,300.7
-26.43,-15.46,299.57
-26.63,-15.76,298.98
-26.63,-15.46,298.68
-26.93,-15.66,298.58
-26.53,-15.76,298.58
-26.43,-15.56,297.58
-26.93,-15.76,298.78
-26.73,-15.66,299.28
-26.93,-15.56,299.38
-27.3,-15.46,299.97
-26.83,-15.46,298.78
-26.93,-15.46,299.8
-26.93,-16.6,298.58
-26.73,-15.66,300.7
-27.23,-15.76,300.37
-26.73,-15.66,299.18
-27.3,-15.76,299.48
-27.13,-15.36,298.88
-26.93,-15.36,299.67
-26.83,-15.46,298.68
-26.83,-15.86,299.67
-27.52,-15.96,299.28
-26.93,-15.56,299.38
-27.32,-15.36,298.68
-27.3,-15.66,298.98
-27.3,-15.46,298.98
-26.83,-15.26,298.78
-27.13,-15.46,298.88
-27.3,-15.76,298.58
-26.73,-15.76,298.88
-26.63,-15.56,298.68
-26.63,-15.66,298.98
-26.63,-15.36,298.88
-26.83,-15.66,299.18
-26.83,-15.56,299.18
-26.93,-15.36,299.97
-26.63,-15.46,297.88
-27.3,-15.46,299.38
-26.83,-15.56,298.68
-26.93,-15.66,299.87
-26.83,-15.36,299.57
-26.83,-15.66,298.88
-26.63,-15.56,298.78
-26.63,-15.56,298.98
-26.93,-15.66,299.18
-27.13,-15.36,299.57
-26.73,-15.66,298.78
-26.43,-15.66,298.68
-26.33,-15.56,299.48
-26.53,-15.26,298.88
-26.53,-15.76,298.58
-27.3,-15.86,299.48
-26.93,-15.66,298.78
-26.53,-15.36,299.28
-26.73,-15.66,298.98
-27.3,-15.96,299.28
-26.93,-15.86,299.38
-26.83,-15.76,299.18
-26.83,-15.76,298.38
-26.73,-15.66,298.58
-26.73,-15.66,298.88
-26.73,-15.76,299.48
-26.53,-15.76,298.68
-26.23,-15.66,298.28
-26.33,-15.56,298.88
-26.63,-15.76,298.68
-26.63,-15.46,298.28
-26.33,-15.46,299.38
-26.73,-15.46,298.68
-26.93,-15.66,299.48
-26.73,-15.86,299.77
-26.73,-15.56,298.88
-26.63,-15.56,298.18
-27.3,-15.46,298.58
-26.93,-15.36,298.58
-26.63,-15.56,298.48
-26.63,-15.46,298.68
-26.33,-15.66,299.28
-26.73,-15.66,298.38
-26.63,-15.76,298.58
-26.43,-15.46,299.57
-26.83,-15.56,300.17
-26.43,-15.46,299.77
-26.43,-15.56,298.48
-26.43,-15.36,299.67
-26.43,-15.26,298.98
-26.33,-15.56,299.28
-26.53,-15.6,298.8
-26.93,-15.26,298.78
-26.73,-15.16,298.58
-26.93,-14.96,299.57
-26.83,-15.46,299.77
-26.93,-15.6,298.78
-27.23,-15.46,299.28
-26.83,-15.46,299.38
-26.93,-15.46,298.48
-27.23,-14.96,297.68
-26.73,-15.36,298.68
-26.53,-15.56,299.87
-26.63,-15.46,298.88
-26.63,-15.46,298.58
-26.83,-15.56,298.48
-26.53,-15.56,299.57
-27.13,-15.36,299.57
-26.93,-15.66,299.18
-26.93,-15.56,298.88
-26.93,-15.66,299.77
-26.73,-15.26,298.48
-26.43,-15.66,298.78
-26.63,-15.46,299.8
-26.73,-15.26,299.48
-26.93,-15.66,299.28
-26.53,-15.76,299.38
-26.73,-15.56,298.88
-26.73,-15.36,299.67
-27.3,-15.46,300.47
-26.83,-15.56,299.8
-26.93,-15.66,299.67
-26.83,-15.46,299.97
-26.83,-15.26,299.97
-27.3,-15.36,299.87
-26.93,-15.86,300.37
-26.63,-15.26,299.77
-26.63,-15.36,299.8
-26.63,-15.76,299.28
-26.83,-15.56,299.18
-26.93,-15.86,298.18
-26.43,-15.36,299.28
-26.63,-15.56,299.38
-26.33,-15.66,298.38
-26.53,-15.96,299.8
-26.63,-15.46,298.58
-26.63,-15.56,298.18
-26.13,-15.66,298.78
-26.73,-15.46,299.57
-26.53,-15.36,299.48
-26.53,-15.36,298.68
-26.93,-15.86,299.67
-26.83,-15.66,299.38
-26.63,-15.46,298.98
-26.53,-15.66,300.47
-27.42,-15.6,299.18
-26.93,-15.56,299.8
-26.33,-16.16,298.78
-25.63,-17.55,298.28
-26.13,-18.25,298.8
-26.3,-18.35,297.58
-26.33,-18.45,296.98
-25.73,-18.85,297.58
-26.33,-18.35,296.98
-27.3,-18.25,297.38
-26.13,-17.85,297.78
-22.24,-19.5,299.48
-22.84,-19.35,299.18
-23.93,-17.85,299.28
-23.93,-17.85,299.8
-23.73,-19.5,298.88
-23.24,-18.85,298.88