# Sim_Rocket (Up to date),
# 2840 data points written for 2 variables.,
#,
# Time (s),Altitude (ft)
# Event LAUNCH occurred at t=0 seconds,
# Event IGNITION occurred at t=0 seconds,
0,0
0.01,0.0012943
0.02,0.01098
0.03,0.040664
# Event LIFTOFF occurred at t=0.04 seconds,
0.04,0.10035
0.05,0.19602
0.06,0.32823
0.07,0.49572
0.08,0.69892
0.09,0.93828
0.1,1.2138
0.11,1.5252
0.11996,1.871
0.12895,2.2136
0.13721,2.554
0.1449,2.8928
0.15211,3.2303
# Event LAUNCHROD occurred at t=0.15893 seconds,
0.15893,3.5669
0.16916,4.1037
0.18451,4.9814
0.20752,6.4619
0.24205,9.0543
0.29205,13.607
0.34205,19.117
0.39205,25.596
0.44205,33.058
0.49205,41.511
0.54205,50.954
0.59205,61.387
0.64205,72.811
0.69205,85.229
0.74205,98.638
0.79205,113.04
0.84205,128.43
0.89205,144.82
0.94205,162.19
0.99205,180.55
1.042,199.9
1.092,220.24
1.142,241.56
1.192,263.86
1.242,287.13
1.292,311.37
1.342,336.58
1.392,362.75
1.442,389.88
1.492,417.95
1.542,446.96
1.592,476.91
1.642,507.78
1.692,539.56
1.742,572.24
1.792,605.78
1.842,640.18
1.892,675.41
1.942,711.44
1.992,748.26
2.042,785.85
2.092,824.18
2.142,863.24
2.192,902.99
2.242,943.42
2.292,984.51
2.342,1026.2
2.392,1068.6
2.442,1111.5
2.492,1155
2.542,1199.1
2.592,1243.6
2.642,1288.7
2.692,1334.3
2.742,1380.3
2.792,1426.7
2.842,1473.6
2.892,1520.8
2.942,1568.4
2.992,1616.4
3.042,1664.7
3.092,1713.3
3.142,1762.1
3.192,1811.2
3.242,1860.6
3.292,1910.1
3.342,1959.6
3.392,2009.1
3.442,2058.5
3.492,2107.7
3.542,2156.7
3.592,2205.5
3.642,2254
3.692,2302.2
3.742,2350.1
3.792,2397.7
3.842,2444.9
3.892,2491.8
3.942,2538.3
3.992,2584.4
# Event BURNOUT occurred at t=4.042 seconds,
4.042,2630.1
4.092,2675.4
4.142,2720.3
4.192,2764.8
4.242,2809
4.292,2852.7
4.342,2896.1
4.392,2939.2
4.442,2981.9
4.492,3024.2
4.542,3066.2
4.592,3107.9
4.642,3149.2
4.692,3190.2
4.742,3230.8
4.792,3271.2
4.842,3311.2
4.892,3350.9
4.942,3390.3
4.992,3429.4
5.042,3468.3
5.092,3506.8
5.142,3545
5.192,3582.9
5.242,3620.5
5.292,3657.9
5.342,3695
5.392,3731.8
5.442,3768.3
5.492,3804.6
5.542,3840.6
5.592,3876.4
5.642,3911.9
5.692,3947.1
5.742,3982.1
5.792,4016.8
5.842,4051.3
5.892,4085.5
5.942,4119.5
5.992,4153.3
6.042,4186.8
6.092,4220.1
6.142,4253.1
6.192,4286
6.242,4318.6
6.292,4350.9
6.342,4383.1
6.392,4415
6.442,4446.7
6.492,4478.2
6.542,4509.5
6.592,4540.6
6.642,4571.5
6.692,4602.1
6.742,4632.6
6.792,4662.8
6.842,4692.9
6.892,4722.7
6.942,4752.4
6.992,4781.8
7.042,4811.1
7.092,4840.1
7.142,4869
7.192,4897.7
7.242,4926.2
7.292,4954.5
7.342,4982.6
7.392,5010.6
7.442,5038.3
7.492,5065.9
7.542,5093.3
7.592,5120.5
7.642,5147.5
7.692,5174.4
7.742,5201.1
7.792,5227.6
7.842,5254
7.892,5280.2
7.942,5306.2
7.992,5332
8.042,5357.7
8.092,5383.2
8.142,5408.6
8.192,5433.8
8.242,5458.8
8.292,5483.7
8.342,5508.4
8.392,5532.9
8.442,5557.3
8.492,5581.6
8.542,5605.7
8.592,5629.6
8.642,5653.4
8.692,5677
8.742,5700.5
8.792,5723.8
8.842,5747
8.892,5770
8.942,5792.9
8.992,5815.6
9.042,5838.2
9.092,5860.7
9.142,5883
9.192,5905.2
9.242,5927.2
9.292,5949.1
9.342,5970.8
9.392,5992.4
9.442,6013.9
9.492,6035.2
9.542,6056.4
9.592,6077.5
9.642,6098.4
9.692,6119.2
9.742,6139.8
9.792,6160.4
9.842,6180.8
9.892,6201
9.942,6221.1
9.992,6241.1
10.042,6261
10.092,6280.8
10.142,6300.4
10.192,6319.9
10.242,6339.2
10.292,6358.4
10.342,6377.6
10.392,6396.5
10.442,6415.4
10.492,6434.1
10.542,6452.8
10.592,6471.2
10.642,6489.6
10.692,6507.9
10.742,6526
10.792,6544
10.842,6561.9
10.892,6579.7
10.942,6597.3
10.992,6614.9
11.042,6632.3
11.092,6649.6
11.142,6666.8
11.192,6683.8
11.242,6700.8
11.292,6717.6
11.342,6734.3
11.392,6751
11.442,6767.5
11.492,6783.8
11.542,6800.1
11.592,6816.3
11.642,6832.3
11.692,6848.3
11.742,6864.1
11.792,6879.8
11.842,6895.4
11.892,6910.9
11.942,6926.3
11.992,6941.6
12.042,6956.8
12.092,6971.8
12.142,6986.8
12.192,7001.7
12.242,7016.4
12.292,7031.1
12.342,7045.6
12.392,7060
12.442,7074.4
12.492,7088.6
12.542,7102.7
12.592,7116.7
12.642,7130.6
12.692,7144.4
12.742,7158.1
12.792,7171.7
12.842,7185.2
12.892,7198.6
12.942,7211.9
12.992,7225.1
13.042,7238.2
13.092,7251.2
13.142,7264.1
13.192,7276.9
13.242,7289.6
13.292,7302.2
13.342,7314.7
13.392,7327.1
13.442,7339.4
13.492,7351.6
13.542,7363.8
13.592,7375.8
13.642,7387.7
13.692,7399.5
13.742,7411.2
13.792,7422.9
13.842,7434.4
13.892,7445.8
13.942,7457.2
13.992,7468.4
14.042,7479.6
14.092,7490.6
14.142,7501.6
14.192,7512.4
14.242,7523.2
14.292,7533.9
14.342,7544.5
14.392,7555
14.442,7565.4
14.492,7575.7
14.542,7585.9
14.592,7596
14.642,7606
14.692,7616
14.742,7625.8
14.792,7635.6
14.842,7645.2
14.892,7654.8
14.942,7664.3
14.992,7673.7
15.042,7683
15.092,7692.2
15.142,7701.3
15.192,7710.4
15.242,7719.3
15.292,7728.2
15.342,7736.9
15.392,7745.6
15.442,7754.2
15.492,7762.7
15.542,7771.1
15.592,7779.4
15.642,7787.6
15.692,7795.8
15.742,7803.8
15.792,7811.8
15.842,7819.7
15.892,7827.5
15.942,7835.2
15.992,7842.8
16.042,7850.4
16.092,7857.8
16.142,7865.2
16.192,7872.4
16.242,7879.6
16.292,7886.7
16.342,7893.7
16.392,7900.7
16.442,7907.5
16.492,7914.3
16.542,7921
16.592,7927.5
16.642,7934
16.692,7940.5
16.742,7946.8
16.792,7953
16.842,7959.2
16.892,7965.3
16.942,7971.3
16.992,7977.2
17.042,7983
17.092,7988.8
17.142,7994.4
17.192,8.00E+03
17.242,8005.5
17.292,8010.9
17.342,8016.2
17.392,8021.5
17.442,8026.6
17.492,8031.7
17.542,8036.7
17.592,8041.6
17.642,8046.4
17.692,8051.2
17.742,8055.8
17.792,8060.4
17.842,8064.9
17.892,8069.3
17.942,8073.6
17.992,8077.9
18.042,8082
18.092,8086.1
18.142,8090.1
18.192,8094
18.242,8097.9
18.292,8101.6
18.342,8105.3
18.392,8108.9
18.442,8112.4
18.492,8115.8
18.542,8119.2
18.592,8122.4
18.642,8125.6
18.692,8128.7
18.742,8131.8
18.792,8134.7
18.842,8137.5
18.892,8140.3
18.942,8143
18.992,8145.6
19.042,8148.2
19.092,8150.6
19.142,8153
19.192,8155.3
19.242,8157.5
19.292,8159.6
19.342,8161.7
19.392,8163.6
19.442,8165.5
19.492,8167.3
19.542,8169.1
19.592,8170.7
19.642,8172.3
19.692,8173.8
19.742,8175.2
19.792,8176.5
19.842,8177.7
19.892,8178.9
19.942,8180
19.992,8181
20.042,8181.9
20.092,8182.7
20.142,8183.5
20.192,8184.2
20.242,8184.8
20.292,8185.3
20.342,8185.7
20.392,8186.1
20.442,8186.4
20.492,8186.6
20.542,8186.7
20.592,8186.7
# Event APOGEE occurred at t=20.642 seconds,
20.642,8186.7
20.692,8186.6
20.742,8186.4
20.792,8186.1
20.842,8185.7
20.892,8185.3
20.942,8184.8
20.992,8184.2
21.042,8183.5
21.092,8182.7
21.142,8181.9
21.192,8181
21.242,8179.9
21.292,8178.9
21.342,8177.7
21.392,8176.5
21.442,8175.1
21.492,8173.7
21.542,8172.3
21.592,8170.7
21.642,8169
21.692,8167.3
21.742,8165.5
21.792,8163.6
21.842,8161.7
21.892,8159.6
21.942,8157.5
21.992,8155.3
22.042,8153.1
22.092,8150.7
22.142,8148.3
22.192,8145.8
22.242,8143.2
22.292,8140.5
22.342,8137.7
22.392,8134.9
22.442,8132
22.492,8129
22.542,8126
22.592,8122.8
22.642,8119.6
22.692,8116.3
22.742,8113
22.792,8109.5
22.842,8106
22.892,8102.4
22.942,8098.7
22.992,8095
23.042,8091.2
23.092,8087.3
23.142,8083.3
23.192,8079.3
23.242,8075.2
23.292,8071
23.342,8066.7
23.392,8062.4
23.442,8058
23.492,8053.5
23.542,8049
23.592,8044.4
23.642,8039.7
23.692,8034.9
23.742,8030.1
23.792,8025.2
23.842,8020.3
23.892,8015.3
23.942,8010.2
23.992,8005.1
24.042,7999.9
24.092,7994.7
24.142,7989.4
24.192,7984
24.242,7978.6
24.292,7973.2
24.342,7967.7
24.392,7962.1
24.442,7956.5
24.492,7950.8
24.542,7945.1
24.592,7939.3
24.642,7933.5
24.692,7927.7
24.742,7921.8
24.792,7915.9
24.842,7909.9
24.892,7903.9
24.942,7897.9
24.992,7891.8
25.042,7885.6
25.092,7879.5
25.142,7873.3
25.192,7867
25.242,7860.8
25.292,7854.5
25.342,7848.1
25.392,7841.7
25.442,7835.3
25.492,7828.9
25.542,7822.4
25.592,7815.9
25.642,7809.4
25.692,7802.8
25.742,7796.2
25.792,7789.6
25.842,7782.9
25.892,7776.2
25.942,7769.4
25.992,7762.7
26.042,7755.9
26.092,7749
26.142,7742.2
26.192,7735.3
26.242,7728.4
26.292,7721.4
26.342,7714.4
26.392,7707.4
26.442,7700.4
26.492,7693.3
26.542,7686.3
26.592,7679.2
26.642,7672
26.692,7664.9
26.742,7657.8
26.792,7650.6
26.842,7643.4
26.892,7636.2
26.942,7629
26.992,7621.7
27.042,7614.5
27.092,7607.3
27.142,7600
27.192,7592.8
27.242,7585.5
27.292,7578.3
27.342,7571
27.392,7563.8
27.442,7556.6
27.492,7549.3
27.542,7542.1
27.592,7534.9
27.642,7527.7
27.692,7520.5
27.742,7513.3
27.792,7506.1
27.842,7499
27.892,7491.8
27.942,7484.7
27.992,7477.6
28.042,7470.4
28.092,7463.3
28.142,7456.3
28.192,7449.2
28.242,7442.1
28.292,7435.1
28.342,7428
28.392,7421
28.442,7414
28.492,7407
28.542,7400
28.592,7393.1
28.642,7386.1
28.692,7379.2
28.742,7372.3
28.792,7365.4
28.842,7358.5
28.892,7351.7
28.942,7344.9
28.992,7338
29.042,7331.2
29.092,7324.5
29.142,7317.7
29.192,7311
29.242,7304.3
29.292,7297.6
29.342,7291
29.392,7284.3
29.442,7277.7
29.492,7271.1
29.542,7264.6
29.592,7258.1
29.642,7251.6
29.692,7245.1
29.742,7238.7
29.792,7232.3
29.842,7225.9
29.892,7219.6
29.942,7213.3
29.992,7207
30.042,7200.8
30.092,7194.6
30.142,7188.4
30.192,7182.3
30.242,7176.2
30.292,7170.1
30.342,7164.1
30.392,7158.1
30.442,7152.2
30.492,7146.2
30.542,7140.3
30.592,7134.5
30.642,7128.7
30.692,7122.9
30.742,7117.1
30.792,7111.4
30.842,7105.7
30.892,7100.1
30.942,7094.4
30.992,7088.9
31.042,7083.3
31.092,7077.8
31.142,7072.3
31.192,7066.9
31.242,7061.5
31.292,7056.1
31.342,7050.7
31.392,7045.4
31.442,7040.2
31.492,7034.9
31.542,7029.7
31.592,7024.5
31.642,7019.4
31.692,7014.3
31.742,7009.2
31.792,7004.1
31.842,6999.1
31.892,6994.1
31.942,6989.1
31.992,6984.2
32.042,6979.3
32.092,6974.4
32.142,6969.6
32.192,6964.8
32.242,6960
32.292,6955.2
32.342,6950.5
32.392,6945.8
32.442,6941.2
32.492,6936.5
32.542,6931.9
32.592,6927.4
32.642,6922.8
32.692,6918.3
32.742,6913.9
32.792,6909.4
32.842,6905
32.892,6900.6
32.942,6896.3
32.992,6892
33.042,6887.7
33.092,6883.4
33.142,6879.2
33.192,6875
33.242,6870.8
33.292,6866.7
33.342,6862.6
33.392,6858.5
33.442,6854.4
33.492,6850.4
33.542,6846.4
33.592,6842.4
33.642,6838.4
33.692,6834.5
33.742,6830.6
33.792,6826.7
33.842,6822.8
33.892,6819
33.942,6815.2
33.992,6811.4
34.042,6807.6
34.092,6803.9
34.142,6800.1
34.192,6796.4
34.242,6792.7
34.292,6789.1
34.342,6785.4
34.392,6781.8
34.442,6778.2
34.492,6774.6
34.542,6771.1
34.592,6767.5
34.642,6764
34.692,6760.5
34.742,6757
34.792,6753.6
34.842,6750.2
34.892,6746.7
34.942,6743.3
34.992,6740
35.042,6736.6
35.092,6733.3
35.142,6729.9
35.192,6726.6
35.242,6723.4
35.292,6720.1
35.342,6716.9
35.392,6713.6
35.442,6710.4
35.492,6707.2
35.542,6704.1
35.592,6700.9
35.642,6697.8
35.692,6694.6
35.742,6691.5
35.792,6688.4
35.842,6685.3
35.892,6682.3
35.942,6679.2
35.992,6676.1
36.042,6673.1
36.092,6670.1
36.142,6667.1
36.192,6664.1
36.242,6661.1
36.292,6658.1
36.342,6655.1
36.392,6652.2
36.442,6649.2
36.492,6646.3
36.542,6643.4
36.592,6640.4
36.642,6637.5
36.692,6634.6
36.742,6631.7
36.792,6628.8
36.842,6625.9
36.892,6623.1
36.942,6620.2
36.992,6617.3
37.042,6614.5
37.092,6611.6
37.142,6608.8
37.192,6605.9
37.242,6603.1
37.292,6600.3
37.342,6597.4
37.392,6594.6
37.442,6591.8
37.492,6589
37.542,6586.2
37.592,6583.4
37.642,6580.6
37.692,6577.8
37.742,6575
37.792,6572.2
37.842,6569.5
37.892,6566.7
37.942,6563.9
37.992,6561.1
38.042,6558.3
38.092,6555.6
38.142,6552.8
38.192,6550
38.242,6547.3
38.292,6544.5
38.342,6541.7
38.392,6539
38.442,6536.2
38.492,6533.5
38.542,6530.7
38.592,6527.9
38.642,6525.2
38.692,6522.4
38.742,6519.6
38.792,6516.9
38.842,6514.1
38.892,6511.4
38.942,6508.6
38.992,6505.8
39.042,6503
39.092,6500.3
39.142,6497.5
39.192,6494.7
39.242,6492
39.292,6489.2
39.342,6486.4
39.392,6483.6
39.442,6480.8
39.492,6478
39.542,6475.2
39.592,6472.5
39.642,6469.7
39.692,6466.9
39.742,6464.1
39.792,6461.3
39.842,6458.5
39.892,6455.7
39.942,6452.8
39.992,6450
40.042,6447.2
40.092,6444.4
40.142,6441.6
40.192,6438.7
40.242,6435.9
40.292,6433.1
40.342,6430.2
40.392,6427.4
40.442,6424.6
40.492,6421.7
40.542,6418.9
40.592,6416
40.642,6413.1
40.692,6410.3
40.742,6407.4
40.792,6404.6
40.842,6401.7
40.892,6398.8
40.942,6395.9
40.992,6393
41.042,6390.2
41.092,6387.3
41.142,6384.4
41.192,6381.5
41.242,6378.6
41.292,6375.7
41.342,6372.8
41.392,6369.9
41.442,6366.9
41.492,6364
41.542,6361.1
41.592,6358.2
41.642,6355.3
41.692,6352.3
41.742,6349.4
41.792,6346.4
41.842,6343.5
41.892,6340.5
41.942,6337.6
41.992,6334.6
42.042,6331.7
42.092,6328.7
42.142,6325.7
42.192,6322.8
42.242,6319.8
42.292,6316.8
42.342,6313.8
42.392,6310.8
42.442,6307.8
42.492,6304.8
42.542,6301.8
42.592,6298.8
42.642,6295.8
42.692,6292.8
42.742,6289.7
42.792,6286.7
42.842,6283.7
42.892,6280.6
42.942,6277.6
42.992,6274.5
43.042,6271.5
43.092,6268.4
43.142,6265.4
43.192,6262.3
43.242,6259.2
43.292,6256.1
43.342,6253
43.392,6249.9
43.442,6246.8
43.492,6243.7
43.542,6240.6
43.592,6237.5
43.642,6234.4
43.692,6231.3
43.742,6228.1
43.792,6225
43.842,6221.8
43.892,6218.7
43.942,6215.5
43.992,6212.4
44.042,6209.2
44.092,6206
44.142,6202.8
44.192,6199.7
44.242,6196.5
44.292,6193.3
44.342,6190.1
44.392,6186.9
44.442,6183.7
44.492,6180.5
44.542,6177.2
44.592,6174
44.642,6170.8
44.692,6167.5
44.742,6164.3
44.792,6161.1
44.842,6157.8
44.892,6154.6
44.942,6151.3
44.992,6148.1
45.042,6144.8
45.092,6141.5
45.142,6138.3
45.192,6135
45.242,6131.7
45.292,6128.4
45.342,6125.1
45.392,6121.9
45.442,6118.6
45.492,6115.3
45.542,6112
45.592,6108.7
45.642,6105.4
45.692,6102
45.742,6098.7
45.792,6095.4
45.842,6092.1
45.892,6088.8
45.942,6085.4
45.992,6082.1
46.042,6078.8
46.092,6075.4
46.142,6072.1
46.192,6068.7
46.242,6065.4
46.292,6062
46.342,6058.6
46.392,6055.3
46.442,6051.9
46.492,6048.5
46.542,6045.2
46.592,6041.8
46.642,6038.4
46.692,6035
46.742,6031.7
46.792,6028.3
46.842,6024.9
46.892,6021.5
46.942,6018.1
46.992,6014.7
47.042,6011.3
47.092,6007.9
47.142,6004.5
47.192,6001.1
47.242,5997.7
47.292,5994.3
47.342,5990.9
47.392,5987.5
47.442,5984.1
47.492,5980.7
47.542,5977.2
47.592,5973.8
47.642,5970.4
47.692,5967
47.742,5963.6
47.792,5960.2
47.842,5956.8
47.892,5953.3
47.942,5949.9
47.992,5946.5
48.042,5943.1
48.092,5939.7
48.142,5936.2
48.192,5932.8
48.242,5929.4
48.292,5925.9
48.342,5922.5
48.392,5919.1
48.442,5915.6
48.492,5912.2
48.542,5908.8
48.592,5905.3
48.642,5901.9
48.692,5898.4
48.742,5895
48.792,5891.5
48.842,5888.1
48.892,5884.6
48.942,5881.2
48.992,5877.7
49.042,5874.2
49.092,5870.8
49.142,5867.3
49.192,5863.8
49.242,5860.4
49.292,5856.9
49.342,5853.5
49.392,5850
49.442,5846.5
49.492,5843.1
49.542,5839.6
49.592,5836.1
49.642,5832.7
49.692,5829.2
49.742,5825.8
49.792,5822.3
49.842,5818.8
49.892,5815.4
49.942,5811.9
49.992,5808.5
50.042,5805
50.092,5801.5
50.142,5798.1
50.192,5794.6
50.242,5791.2
50.292,5787.7
50.342,5784.3
50.392,5780.8
50.442,5777.4
50.492,5774
50.542,5770.5
50.592,5767.1
50.642,5763.6
50.692,5760.2
50.742,5756.8
50.792,5753.3
50.842,5749.9
50.892,5746.5
50.942,5743
50.992,5739.6
51.042,5736.2
51.092,5732.8
51.142,5729.4
51.192,5725.9
51.242,5722.5
51.292,5719.1
51.342,5715.7
51.392,5712.3
51.442,5708.9
51.492,5705.5
51.542,5702.1
51.592,5698.7
51.642,5695.3
51.692,5691.9
51.742,5688.5
51.792,5685.1
51.842,5681.7
51.892,5678.3
51.942,5674.9
51.992,5671.5
52.042,5668.1
52.092,5664.7
52.142,5661.3
52.192,5657.9
52.242,5654.5
52.292,5651.1
52.342,5647.7
52.392,5644.3
52.442,5640.9
52.492,5637.5
52.542,5634.1
52.592,5630.7
52.642,5627.3
52.692,5623.9
52.742,5620.6
52.792,5617.2
52.842,5613.8
52.892,5610.4
52.942,5607
52.992,5603.6
53.042,5600.2
53.092,5596.8
53.142,5593.4
53.192,5590
53.242,5586.7
53.292,5583.3
53.342,5579.9
53.392,5576.5
53.442,5573.1
53.492,5569.7
53.542,5566.4
53.592,5563
53.642,5559.6
53.692,5556.2
53.742,5552.9
53.792,5549.5
53.842,5546.1
53.892,5542.8
53.942,5539.4
53.992,5536
54.042,5532.7
54.092,5529.3
54.142,5525.9
54.192,5522.6
54.242,5519.2
54.292,5515.8
54.342,5512.5
54.392,5509.1
54.442,5505.8
54.492,5502.4
54.542,5499
54.592,5495.7
54.642,5492.3
54.692,5489
54.742,5485.6
54.792,5482.3
54.842,5478.9
54.892,5475.6
54.942,5472.2
54.992,5468.9
55.042,5465.5
55.092,5462.2
55.142,5458.9
55.192,5455.5
55.242,5452.2
55.292,5448.9
55.342,5445.5
55.392,5442.2
55.442,5438.9
55.492,5435.5
55.542,5432.2
55.592,5428.9
55.642,5425.5
55.692,5422.2
55.742,5418.9
55.792,5415.5
55.842,5412.2
55.892,5408.9
55.942,5405.6
55.992,5402.2
56.042,5398.9
56.092,5395.6
56.142,5392.3
56.192,5388.9
56.242,5385.6
56.292,5382.3
56.342,5379
56.392,5375.6
56.442,5372.3
56.492,5369
56.542,5365.7
56.592,5362.3
56.642,5359
56.692,5355.7
56.742,5352.4
56.792,5349.1
56.842,5345.7
56.892,5342.4
56.942,5339.1
56.992,5335.8
57.042,5332.5
57.092,5329.2
57.142,5325.9
57.192,5322.6
57.242,5319.2
57.292,5315.9
57.342,5312.6
57.392,5309.3
57.442,5306
57.492,5302.7
57.542,5299.4
57.592,5296.1
57.642,5292.8
57.692,5289.5
57.742,5286.3
57.792,5283
57.842,5279.7
57.892,5276.4
57.942,5273.1
57.992,5269.8
58.042,5266.5
58.092,5263.3
58.142,5260
58.192,5256.7
58.242,5253.4
58.292,5250.1
58.342,5246.9
58.392,5243.6
58.442,5240.3
58.492,5237
58.542,5233.8
58.592,5230.5
58.642,5227.2
58.692,5224
58.742,5220.7
58.792,5217.4
58.842,5214.2
58.892,5210.9
58.942,5207.6
58.992,5204.3
59.042,5201.1
59.092,5197.8
59.142,5194.5
59.192,5191.3
59.242,5188
59.292,5184.7
59.342,5181.5
59.392,5178.2
59.442,5174.9
59.492,5171.7
59.542,5168.4
59.592,5165.1
59.642,5161.9
59.692,5158.6
59.742,5155.3
59.792,5152.1
59.842,5148.8
59.892,5145.6
59.942,5142.3
59.992,5139
60.042,5135.8
60.092,5132.5
60.142,5129.3
60.192,5126
60.242,5122.8
60.292,5119.6
60.342,5116.3
60.392,5113.1
60.442,5109.8
60.492,5106.6
60.542,5103.4
60.592,5100.1
60.642,5096.9
60.692,5093.6
60.742,5090.4
60.792,5087.2
60.842,5083.9
60.892,5080.7
60.942,5077.5
60.992,5074.2
61.042,5071
61.092,5067.8
61.142,5064.5
61.192,5061.3
61.242,5058.1
61.292,5054.8
61.342,5051.6
61.392,5048.4
61.442,5045.1
61.492,5041.9
61.542,5038.7
61.592,5035.4
61.642,5032.2
61.692,5029
61.742,5025.7
61.792,5022.5
61.842,5019.3
61.892,5016
61.942,5012.8
61.992,5009.5
62.042,5006.3
62.092,5003.1
62.142,4999.8
62.192,4996.6
62.242,4993.3
62.292,4990.1
62.342,4986.8
62.392,4983.6
62.442,4980.3
62.492,4977.1
62.542,4973.8
62.592,4970.6
62.642,4967.3
62.692,4964
62.742,4960.8
62.792,4957.5
62.842,4954.2
62.892,4951
62.942,4947.7
62.992,4944.4
63.042,4941.1
63.092,4937.9
63.142,4934.6
63.192,4931.3
63.242,4928
63.292,4924.8
63.342,4921.5
63.392,4918.2
63.442,4914.9
63.492,4911.6
63.542,4908.3
63.592,4905.1
63.642,4901.8
63.692,4898.5
63.742,4895.2
63.792,4891.9
63.842,4888.6
63.892,4885.4
63.942,4882.1
63.992,4878.8
64.042,4875.5
64.092,4872.2
64.142,4869
64.192,4865.7
64.242,4862.4
64.292,4859.1
64.342,4855.9
64.392,4852.6
64.442,4849.3
64.492,4846.1
64.542,4842.8
64.592,4839.5
64.642,4836.2
64.692,4833
64.742,4829.7
64.792,4826.4
64.842,4823.2
64.892,4819.9
64.942,4816.6
64.992,4813.4
65.042,4810.1
65.092,4806.8
65.142,4803.6
65.192,4800.3
65.242,4797
65.292,4793.7
65.342,4790.5
65.392,4787.2
65.442,4783.9
65.492,4780.6
65.542,4777.4
65.592,4774.1
65.642,4770.8
65.692,4767.5
65.742,4764.3
65.792,4761
65.842,4757.7
65.892,4754.4
65.942,4751.2
65.992,4747.9
66.042,4744.6
66.092,4741.3
66.142,4738
66.192,4734.7
66.242,4731.5
66.292,4728.2
66.342,4724.9
66.392,4721.6
66.442,4718.4
66.492,4715.1
66.542,4711.8
66.592,4708.5
66.642,4705.3
66.692,4702
66.742,4698.7
66.792,4695.4
66.842,4692.2
66.892,4688.9
66.942,4685.6
66.992,4682.4
67.042,4679.1
67.092,4675.9
67.142,4672.6
67.192,4669.4
67.242,4666.1
67.292,4662.8
67.342,4659.6
67.392,4656.3
67.442,4653.1
67.492,4649.8
67.542,4646.6
67.592,4643.3
67.642,4640.1
67.692,4636.8
67.742,4633.6
67.792,4630.4
67.842,4627.1
67.892,4623.9
67.942,4620.6
67.992,4617.4
68.042,4614.1
68.092,4610.9
68.142,4607.6
68.192,4604.4
68.242,4601.1
68.292,4597.9
68.342,4594.6
68.392,4591.4
68.442,4588.1
68.492,4584.9
68.542,4581.6
68.592,4578.4
68.642,4575.1
68.692,4571.9
68.742,4568.6
68.792,4565.4
68.842,4562.1
68.892,4558.9
68.942,4555.6
68.992,4552.3
69.042,4549.1
69.092,4545.8
69.142,4542.6
69.192,4539.3
69.242,4536.1
69.292,4532.8
69.342,4529.6
69.392,4526.3
69.442,4523.1
69.492,4519.8
69.542,4516.5
69.592,4513.3
69.642,4510
69.692,4506.8
69.742,4503.5
69.792,4500.3
69.842,4497
69.892,4493.8
69.942,4490.5
69.992,4487.3
